locus_tag,old_locus_tag,marie_annot,marie_gene_name,marie_product,gene_name,cycbio_gene_product,old_gene_name,old_gene_product,COG,uniprot,operon,accession,start,stop,strand
SYNPCC7942_RS11255,Synpcc7942_2216,SE_2282,rpsE,SSU ribosomal protein S5P,rpsE,30S ribosomal subunit protein S5,rpsE,30S ribosomal protein S5,"Translation, ribosomal structure and biogenesis",O24705,Op1661,NC_007604.1,2291444,2291986,-
SYNPCC7942_RS11260,Synpcc7942_2217,SE_2283,rplR,LSU ribosomal protein L18P,rplR,50S ribosomal subunit protein L18,SYNPCC7942_RS11260,50S ribosomal protein L18,"Translation, ribosomal structure and biogenesis",O24704,Op1661,NC_007604.1,2291990,2292352,-
SYNPCC7942_RS11265,Synpcc7942_2218,SE_2284,rplF,LSU ribosomal protein L6P,rplF,50S ribosomal subunit protein L6,rplF,50S ribosomal protein L6,"Translation, ribosomal structure and biogenesis",O24703,Op1661,NC_007604.1,2292352,2292891,-
SYNPCC7942_RS11270,Synpcc7942_2219,SE_2285,rpsH,SSU ribosomal protein S8P,rpsH,30S ribosomal subunit protein S8,rpsH,30S ribosomal protein S8,"Translation, ribosomal structure and biogenesis",O24702,Op1661,NC_007604.1,2292928,2293329,-
SYNPCC7942_RS11275,Synpcc7942_2220,SE_2286,rplE,LSU ribosomal protein L5P,rplE,50S ribosomal subunit protein L5,rplE,50S ribosomal protein L5,"Translation, ribosomal structure and biogenesis",O24701,Op1661,NC_007604.1,2293357,2293896,-
SYNPCC7942_RS11280,Synpcc7942_2221,SE_2287,rpl24,LSU ribosomal protein L24P,rplX,50S ribosomal subunit protein L24,SYNPCC7942_RS11280,50S ribosomal protein L24,"Translation, ribosomal structure and biogenesis",O24700,Op1662,NC_007604.1,2293939,2294280,-
SYNPCC7942_RS11285,Synpcc7942_2222,SE_2288,rplN,LSU ribosomal protein L14P,rplN,50S ribosomal subunit protein L14,rplN,50S ribosomal protein L14,"Translation, ribosomal structure and biogenesis",O24699,Op1662,NC_007604.1,2294280,2294645,-
SYNPCC7942_RS11290,Synpcc7942_2223,SE_2289,rpsQ,SSU ribosomal protein S17P,rpsQ,30S ribosomal subunit protein S17,rpsQ,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis",O24698,Op1662,NC_007604.1,2294657,2294905,-
SYNPCC7942_RS11295,Synpcc7942_2224,SE_2290,rpl29,LSU ribosomal protein L29P,rpmC,50S ribosomal subunit protein L29,SYNPCC7942_RS11295,50S ribosomal protein L29,"Translation, ribosomal structure and biogenesis",O24697,Op1662,NC_007604.1,2294940,2295134,-
SYNPCC7942_RS11300,Synpcc7942_2225,SE_2291,rplP,LSU ribosomal protein L16P,rplP,50S ribosomal subunit protein L16,rplP,50S ribosomal protein L16,"Translation, ribosomal structure and biogenesis",O24696,Op1662,NC_007604.1,2295137,2295565,-
SYNPCC7942_RS11305,Synpcc7942_2226,SE_2292,rpsC,SSU ribosomal protein S3P,rpsC,30S ribosomal subunit protein S3,rpsC,30S ribosomal protein S3,"Translation, ribosomal structure and biogenesis",O24695,Op1662,NC_007604.1,2295574,2296308,-
SYNPCC7942_RS11310,Synpcc7942_2227,SE_2293,rplV,LSU ribosomal protein L22P,rplV,50S ribosomal subunit protein L22,rplV,50S ribosomal protein L22,"Translation, ribosomal structure and biogenesis",O24694,Op1662,NC_007604.1,2296333,2296686,-
SYNPCC7942_RS11315,Synpcc7942_2228,SE_2294,rpsS,SSU ribosomal protein S19P,rpsS,30S ribosomal subunit protein S19,rpsS,30S ribosomal protein S19,"Translation, ribosomal structure and biogenesis",O24693,Op1662,NC_007604.1,2296705,2296980,-
SYNPCC7942_RS11320,Synpcc7942_2229,SE_2295,rplB,LSU ribosomal protein L2P,rplB,50S ribosomal subunit protein L2,rplB,50S ribosomal protein L2,"Translation, ribosomal structure and biogenesis",Q31L10,Op1662,NC_007604.1,2297012,2297875,-
SYNPCC7942_RS11325,Synpcc7942_2230,SE_2296,rplW,LSU ribosomal protein L23P,rplW,50S ribosomal subunit protein L23,SYNPCC7942_RS11325,50S ribosomal protein L23,"Translation, ribosomal structure and biogenesis",O24691,Op1662,NC_007604.1,2297905,2298207,-
SYNPCC7942_RS11330,Synpcc7942_2231,SE_2297,rplD,LSU ribosomal protein L4P,rplD,50S ribosomal subunit protein L4,rplD,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",O24690,Op1662,NC_007604.1,2298200,2298832,-
SYNPCC7942_RS11335,Synpcc7942_2232,SE_2298,rplC,LSU ribosomal protein L3P,rplC,50S ribosomal subunit protein L3,SYNPCC7942_RS11335,50S ribosomal protein L3,"Translation, ribosomal structure and biogenesis",O24689,Op1663,NC_007604.1,2298877,2299518,-
SYNPCC7942_RS11345,Synpcc7942_2234,SE_2300,SE_2300,NAD(P)H-quinone oxidoreductase subunit N,ndhN,NADH dehydrogenase I subunit N,SYNPCC7942_RS11345,NAD(P)H-quinone oxidoreductase subunit N,Energy production and conversion,Q31L05,Op1664,NC_007604.1,2300183,2300659,+
SYNPCC7942_RS11350,Synpcc7942_2235,SE_2301,trmD,tRNA (Guanine37-N(1)-) methyltransferase,trmD,tRNA (guanine-N1)-methyltransferase,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,"Translation, ribosomal structure and biogenesis",Q31L04,Op1664,NC_007604.1,2300665,2301372,+
SYNPCC7942_RS11355,Synpcc7942_2236,SE_2302,SE_2302,peptide/nickel transport system ATP-binding protein,SYNPCC7942_2236,ATPase,SYNPCC7942_RS11355,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0H3K7H5,Op1665,NC_007604.1,2301380,2303044,-
SYNPCC7942_RS11360,Synpcc7942_2237,SE_2303,SE_2303,Cobalamin synthesis G C-terminus,SYNPCC7942_2237,conserved hypothetical protein,SYNPCC7942_RS11360,cobalamin biosynthesis protein,Coenzyme transport and metabolism,A0A0H3K488,Op1665,NC_007604.1,2303053,2303487,-
SYNPCC7942_RS11365,Synpcc7942_2238,SE_2304,glcP,Sugar transporter,SYNPCC7942_2238,glucose transport protein,SYNPCC7942_RS11365,MFS transporter,Amino acid transport and metabolism,Q31L01,Op1666,NC_007604.1,2303629,2305044,-
SYNPCC7942_RS11370,Synpcc7942_2239,SE_2305,SE_2305,Dihaem cytochrome c,SYNPCC7942_2239,conserved hypothetical protein,SYNPCC7942_RS11370,hypothetical protein,Energy production and conversion,A0A0H3KB20,Op1667,NC_007604.1,2305276,2305791,-
SYNPCC7942_RS11375,Synpcc7942_2240,SE_2306,ycf52,Acetyltransferase (GNAT) family protein,SYNPCC7942_2240,conserved hypothetical protein YCF52,SYNPCC7942_RS11375,GNAT family N-acetyltransferase,Transcription,A0A0H3K4L1,Op1668,NC_007604.1,2305961,2306491,+
SYNPCC7942_RS13820,Synpcc7942_2241,SE_2307,SE_2307,protein of unknown function (DUF4349),SYNPCC7942_RS13820,SYNPCC7942_RS13820,SYNPCC7942_RS13820,DUF4349 domain-containing protein,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K7G7,Op1669,NC_007604.1,2306546,2307418,+
SYNPCC7942_RS14090,Synpcc7942_2242,SYNPCC7942_RS14090,SYNPCC7942_RS14090,SYNPCC7942_RS14090,SYNPCC7942_RS14090,SYNPCC7942_RS14090,SYNPCC7942_RS14090,HAMP domain-containing histidine kinase,Signal transduction mechanisms,Q31KZ7,Op1670,NC_007604.1,2307254,2308246,-
SYNPCC7942_RS11385,Synpcc7942_2243,SE_2309,proA,glutamate-5-semialdehyde dehydrogenase,proA1,Glutamate-5-semialdehyde dehydrogenase,SYNPCC7942_RS11385,glutamate-5-semialdehyde dehydrogenase,Amino acid transport and metabolism,Q31KZ6,Op1671,NC_007604.1,2308253,2309497,-
SYNPCC7942_RS11395,Synpcc7942_2244,SE_2311,ribH,"6,7-dimethyl-8-ribityllumazine synthase",ribH,"6,7-dimethyl-8-ribityllumazine synthase",SYNPCC7942_RS11395,6%2C7-dimethyl-8-ribityllumazine synthase,Coenzyme transport and metabolism,Q31KZ5,Op1672,NC_007604.1,2309788,2310333,-
SYNPCC7942_RS11400,Synpcc7942_2245,SE_2312,psbZ,photosystem II PsbZ protein,psbZ,putative photosystem II PsbZ protein,psbZ,photosystem II reaction center protein PsbZ,Function unknown,Q31KZ4,Op1672,NC_007604.1,2310343,2310531,-
SYNPCC7942_RS11405,Synpcc7942_2246,SE_2313,SE_2313,Dolichyl-phosphate-mannose-protein mannosyltransferase,SYNPCC7942_2246,conserved hypothetical protein,SYNPCC7942_RS11405,glycosyltransferase family 39 protein,Cell wall/membrane/envelope biogenesis,UPI0012DC7315,Op1673,NC_007604.1,2310645,2312300,+
SYNPCC7942_RS11410,Synpcc7942_2247,SE_2314,mutS,DNA mismatch repair protein MutS,mutS,DNA mismatch repair protein MutS,mutS,DNA mismatch repair protein MutS,"Replication, recombination and repair",Q31KZ2,Op1673,NC_007604.1,2312310,2314958,+
SYNPCC7942_RS11415,,SE_2315,SE_2315,hypothetical protein,SYNPCC7942_RS11415,SYNPCC7942_RS11415,SYNPCC7942_RS11415,hypothetical protein,No COG annotation,UPI00003A0419,Op1674,NC_007604.1,2315152,2315352,+
SYNPCC7942_RS11420,Synpcc7942_2248,SE_2316,himA,HU family DNA-binding protein,SYNPCC7942_2248,Histone-like DNA-binding protein,SYNPCC7942_RS11420,HU family DNA-binding protein,"Replication, recombination and repair",A0A0H3K4K7,Op1675,NC_007604.1,2315452,2315727,-
SYNPCC7942_RS11425,Synpcc7942_2249,SE_2317,SE_2317,S-adenosylmethionine decarboxylase,SYNPCC7942_2249,conserved hypothetical protein,SYNPCC7942_RS11425,adenosylmethionine decarboxylase,Coenzyme transport and metabolism,Q31KZ0,Op1676,NC_007604.1,2316062,2316487,-
SYNPCC7942_RS11430,,SE_2318,SE_2318,TSUP family transporter,SYNPCC7942_RS11430,SYNPCC7942_RS11430,SYNPCC7942_RS11430,hypothetical protein,No COG annotation,UPI00031E2484,Op1677,NC_007604.1,2316661,2316843,+
SYNPCC7942_RS11435,Synpcc7942_2250,SE_2319,recF,DNA replication and repair protein RecF,recF,DNA replication and repair protein RecF,recF,DNA replication/repair protein RecF,"Replication, recombination and repair",Q31KY9,Op1678,NC_007604.1,2317075,2318238,-
SYNPCC7942_RS13825,Synpcc7942_2251,SE_2321,SE_2321,hypothetical protein,SYNPCC7942_RS13825,SYNPCC7942_RS13825,SYNPCC7942_RS13825,hypothetical protein,Transcription,Q31KY8,Op1679,NC_007604.1,2318335,2318919,-
SYNPCC7942_RS11450,Synpcc7942_2252,SE_2322,ppc,"Phosphoenolpyruvate carboxylase, type 1",ppc,Phosphoenolpyruvate carboxylase,SYNPCC7942_RS11450,phosphoenolpyruvate carboxylase,Coenzyme transport and metabolism,UPI00003A041E,Op1680,NC_007604.1,2318927,2321950,-
SYNPCC7942_RS11455,Synpcc7942_2253,SE_2323,SE_2323,"glutamate--cysteine ligase, putative",gshA,"Glutamate--cysteine ligase, putative",gshA,glutamate--cysteine ligase,Coenzyme transport and metabolism,UPI0005859834,Op1681,NC_007604.1,2322145,2323281,-
SYNPCC7942_RS11460,Synpcc7942_2254,SE_2324,SE_2324,Protein of unknown function (DUF3370),SYNPCC7942_2254,conserved hypothetical protein,SYNPCC7942_RS11460,DUF3370 family protein,Cell motility,Q31KY5,Op1682,NC_007604.1,2323399,2324757,-
SYNPCC7942_RS11465,Synpcc7942_2255,SE_2325,SE_2325,AbrB-like transcriptional regulator,SYNPCC7942_2255,conserved hypothetical protein,SYNPCC7942_RS11465,hypothetical protein,Transcription,A0A0H3K4K3,Op1683,NC_007604.1,2325520,2325924,+
SYNPCC7942_RS11470,Synpcc7942_2256,SE_2326,SE_2326,Alpha/beta hydrolase of unknown function (DUF1400),SYNPCC7942_2256,conserved hypothetical protein,SYNPCC7942_RS11470,alpha/beta hydrolase,Function unknown,A0A0H3K7F1,Op1684,NC_007604.1,2326061,2326615,-
SYNPCC7942_RS13830,Synpcc7942_2257,SE_2327,SE_2327,Protein of unknown function (DUF3252),SYNPCC7942_RS13830,SYNPCC7942_RS13830,SYNPCC7942_RS13830,DUF3252 domain-containing protein,Function unknown,Q31KY2,Op1685,NC_007604.1,2326665,2326832,-
SYNPCC7942_RS11475,Synpcc7942_2258,SE_2328,avtA,valine-pyruvate aminotransferase apoenzyme,avtA,valine-pyruvate aminotransferase,SYNPCC7942_RS11475,valine--pyruvate transaminase,Amino acid transport and metabolism,A0A0H3K3W2,Op1686,NC_007604.1,2327013,2328296,+
SYNPCC7942_RS11480,Synpcc7942_2259,SE_2329,rimM,16S rRNA processing protein RimM,rimM,16S rRNA processing protein RimM,rimM,ribosome maturation factor RimM,"Translation, ribosomal structure and biogenesis",Q31KY0,Op1686,NC_007604.1,2328300,2328848,+
SYNPCC7942_RS11485,Synpcc7942_2260,SE_2330,SE_2330,hypothetical protein,SYNPCC7942_2260,conserved hypothetical protein,SYNPCC7942_RS11485,hypothetical protein,No COG annotation,A0A0H3KB03,Op1687,NC_007604.1,2328879,2329244,-
SYNPCC7942_RS14095,,SYNPCC7942_RS14095,SYNPCC7942_RS14095,SYNPCC7942_RS14095,SYNPCC7942_RS14095,SYNPCC7942_RS14095,SYNPCC7942_RS14095,hypothetical protein,No COG annotation,UPI00003A0427,Op1688,NC_007604.1,2329256,2329417,-
SYNPCC7942_RS11490,Synpcc7942_2261,SE_2331,SE_2331,divalent cation tolerance protein,cutA,periplasmic divalent cation tolerance protein,SYNPCC7942_RS11490,divalent-cation tolerance protein CutA,Inorganic ion transport and metabolism,A0A0H3K4J9,Op1689,NC_007604.1,2329449,2329790,-
SYNPCC7942_RS11495,Synpcc7942_2262,SE_2332,SE_2332,hypothetical protein,SYNPCC7942_2262,conserved hypothetical protein,SYNPCC7942_RS11495,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q31KX7,Op1689,NC_007604.1,2329787,2331196,-
SYNPCC7942_RS11500,Synpcc7942_2263,SE_2333,hisS,histidyl-tRNA synthetase,hisS1,histidyl-tRNA synthetase,SYNPCC7942_RS11500,histidine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q31KX6,Op1689,NC_007604.1,2331234,2332541,-
SYNPCC7942_RS11505,Synpcc7942_2264,SE_2334,SE_2334,"transcriptional regulator /transcriptional regulator, LuxR family",SYNPCC7942_2264,"transcriptional regulator, LuxR family",SYNPCC7942_RS11505,response regulator transcription factor,Transcription,A0A0H3K466,Op1690,NC_007604.1,2332654,2332929,-
SYNPCC7942_RS11510,Synpcc7942_2265,SE_2335,proA,glutamate-5-semialdehyde dehydrogenase,proA2,gamma-glutamyl phosphate reductase,SYNPCC7942_RS11510,glutamate-5-semialdehyde dehydrogenase,Amino acid transport and metabolism,Q31KX4,Op1691,NC_007604.1,2333329,2334624,+
SYNPCC7942_RS11515,Synpcc7942_2266,SE_2336,SE_2336,putative spermidine/putrescine transport system substrate-binding protein,potD,periplasmic polyamine-binding protein of ABC transporter,SYNPCC7942_RS11515,extracellular solute-binding protein,Amino acid transport and metabolism,Q31KX3,Op1692,NC_007604.1,2334654,2335718,-
SYNPCC7942_RS11520,Synpcc7942_2267,SE_2337,SE_2337,hypothetical protein,SYNPCC7942_2267,hypothetical protein,SYNPCC7942_RS11520,hypothetical protein,No COG annotation,Q31KX2,Op1693,NC_007604.1,2335846,2336103,+
SYNPCC7942_RS11525,Synpcc7942_2268,SE_2338,SE_2338,TIGR00303 family protein,cobU,Nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase,SYNPCC7942_RS11525,TIGR00303 family protein,Coenzyme transport and metabolism,A0A0H3KAZ5,Op1694,NC_007604.1,2336072,2337217,-
SYNPCC7942_RS11530,Synpcc7942_2269,SE_2339,SE_2339,"Uncharacterized conserved protein YybS, DUF2232 family",SYNPCC7942_2269,conserved hypothetical protein,SYNPCC7942_RS11530,DUF2232 domain-containing protein,Function unknown,A0A0H3K4J4,Op1694,NC_007604.1,2337207,2337944,-
SYNPCC7942_RS11535,Synpcc7942_2270,SE_2340,SE_2340,peptidase M42,SYNPCC7942_2270,glucanase,SYNPCC7942_RS11535,peptidase M42,Carbohydrate transport and metabolism,A0A0H3K7D9,Op1694,NC_007604.1,2337973,2339007,-
SYNPCC7942_RS11540,Synpcc7942_2271,SE_2341,SE_2341,ADP-ribose pyrophosphatase,nudF,ADP-ribose pyrophosphatase,SYNPCC7942_RS11540,NUDIX hydrolase,"Replication, recombination and repair",A0A0H3K461,Op1694,NC_007604.1,2339045,2339596,-
SYNPCC7942_RS11545,Synpcc7942_2272,SE_2342,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e diphosphokinase,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,A0A0H3K3V3,Op1694,NC_007604.1,2339596,2340126,-
SYNPCC7942_RS11550,Synpcc7942_2273,SE_2343,SE_2343,PD-(D/E)XK nuclease superfamily protein,SYNPCC7942_2273,conserved hypothetical protein,SYNPCC7942_RS11550,PD-(D/E)XK nuclease family protein,"Replication, recombination and repair",A0A0H3KAY7,Op1695,NC_007604.1,2340153,2340920,+
SYNPCC7942_RS11555,Synpcc7942_2274,SE_2344,chlD,protoporphyrin IX magnesium-chelatase,chlD,Magnesium chelatase subunit D,bchD,magnesium chelatase ATPase subunit D,Coenzyme transport and metabolism,A0A0H3K4I9,Op1696,NC_007604.1,2340963,2342996,+
SYNPCC7942_RS11570,Synpcc7942_2276,SE_2346,SE_2346,hypothetical protein,SYNPCC7942_2276,conserved hypothetical protein,SYNPCC7942_RS11570,hypothetical protein,Transcription,A0A0H3K7D3,Op1697,NC_007604.1,2343882,2344334,-
SYNPCC7942_RS11575,Synpcc7942_2277,SE_2347,SE_2347,hypothetical protein,SYNPCC7942_2277,conserved hypothetical protein,SYNPCC7942_RS11575,hypothetical protein,No COG annotation,Q31KW2,Op1698,NC_007604.1,2344591,2344899,-
SYNPCC7942_RS11580,Synpcc7942_2278,SE_2348,SE_2348,Predicted kinase,SYNPCC7942_2278,conserved hypothetical protein,SYNPCC7942_RS11580,WYL domain-containing protein,Transcription,A0A0H3K3U8,Op1699,NC_007604.1,2345093,2347240,+
SYNPCC7942_RS11585,Synpcc7942_2279,SE_2349,amtB,ammonium transporter,amtB,ammonium transporter,amt,ammonium transporter,Inorganic ion transport and metabolism,Q31KW0,Op1700,NC_007604.1,2347614,2349026,+
SYNPCC7942_RS11590,Synpcc7942_2280,SE_2350,SE_2350,Tetratricopeptide repeat-containing protein,SYNPCC7942_2280,TPR repeat,SYNPCC7942_RS11590,tetratricopeptide repeat protein,Function unknown,A0A0H3K4I4,Op1701,NC_007604.1,2349235,2350167,-
SYNPCC7942_RS11595,Synpcc7942_2281,SE_2351,SE_2351,hypothetical protein,SYNPCC7942_2281,conserved hypothetical protein,SYNPCC7942_RS11595,hypothetical protein,Function unknown,A0A0H3K7C6,Op1702,NC_007604.1,2350198,2351154,+
SYNPCC7942_RS11600,Synpcc7942_2282,SE_2352,SE_2352,GAF sensor signal transduction histidine kinase,SYNPCC7942_2282,GAF sensor signal transduction histidine kinase,SYNPCC7942_RS11600,GAF domain-containing protein,Signal transduction mechanisms,Q31KV7,Op1703,NC_007604.1,2351102,2353015,-
SYNPCC7942_RS11605,Synpcc7942_2283,SE_2353,SE_2353,DUF554 family protein,SYNPCC7942_2283,conserved hypothetical protein,SYNPCC7942_RS11605,DUF554 family protein,Function unknown,UPI0012DF309D,Op1704,NC_007604.1,2353048,2353854,+
SYNPCC7942_RS11610,Synpcc7942_2284,SE_2354,todF,Pimeloyl-ACP methyl ester carboxylesterase,todF,2-hydroxy-6-oxohepta-24-dienoate hydrolase,SYNPCC7942_RS11610,alpha/beta hydrolase,Lipid transport and metabolism,Q31KV5,Op1705,NC_007604.1,2353861,2354772,-
SYNPCC7942_RS11615,Synpcc7942_2285,SE_2355,gldA,iron-containing alcohol dehydrogenase,gldA,glycerol dehydrogenase,SYNPCC7942_RS11615,iron-containing alcohol dehydrogenase family protein,Energy production and conversion,A0A0H3K4I0,Op1705,NC_007604.1,2354769,2355848,-
SYNPCC7942_RS11620,Synpcc7942_2286,SE_2356,SE_2356,hypothetical protein,SYNPCC7942_2286,conserved hypothetical protein,SYNPCC7942_RS11620,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31KV3,Op1706,NC_007604.1,2355974,2357059,-
SYNPCC7942_RS11625,Synpcc7942_2287,SE_2357,SE_2357,hypothetical protein,SYNPCC7942_2287,conserved hypothetical protein,SYNPCC7942_RS11625,hypothetical protein,Cell wall/membrane/envelope biogenesis,A0A0H3K443,Op1707,NC_007604.1,2357146,2358120,-
SYNPCC7942_RS11630,Synpcc7942_2288,SE_2358,SE_2358,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase),kdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,SYNPCC7942_RS11630,HAD-IIIA family hydrolase,Function unknown,A0A0H3K3T5,Op1708,NC_007604.1,2358162,2358698,-
SYNPCC7942_RS11635,Synpcc7942_2289,SE_2359,ccmA,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase),kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,kdsA,3-deoxy-8-phosphooctulonate synthase,Cell wall/membrane/envelope biogenesis,Q31KV0,Op1708,NC_007604.1,2358695,2359549,-
SYNPCC7942_RS11640,Synpcc7942_2290,SE_2360,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase),kdsB,3-deoxy-D-manno-octulosonate cytidylyltransferase,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,Cell wall/membrane/envelope biogenesis,Q31KU9,Op1708,NC_007604.1,2359531,2360265,-
SYNPCC7942_RS11645,Synpcc7942_2291,SE_2361,SE_2361,arabinose-5-phosphate isomerase,gutQ,KpsF/GutQ family protein,SYNPCC7942_RS11645,KpsF/GutQ family sugar-phosphate isomerase,Cell wall/membrane/envelope biogenesis,A0A0H3KAW5,Op1708,NC_007604.1,2360280,2361251,-
SYNPCC7942_RS11650,Synpcc7942_2292,SE_2362,SE_2362,hypothetical protein,SYNPCC7942_2292,conserved hypothetical protein,SYNPCC7942_RS11650,hypothetical protein,No COG annotation,Q31KU7,Op1709,NC_007604.1,2361401,2363665,+
SYNPCC7942_RS11655,Synpcc7942_2293,SE_2363,SE_2363,hypothetical protein,SYNPCC7942_2293,conserved hypothetical protein,SYNPCC7942_RS11655,hypothetical protein,No COG annotation,A0A0H3K7B4,Op1709,NC_007604.1,2363670,2364119,+
SYNPCC7942_RS11660,Synpcc7942_2294,SE_2364,SE_2364,Glycosyl transferase family 8,SYNPCC7942_2294,conserved hypothetical protein,SYNPCC7942_RS11660,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31KU5,Op1709,NC_007604.1,2364152,2364988,+
SYNPCC7942_RS11665,Synpcc7942_2295,SE_2365,SE_2365,hypothetical protein,SYNPCC7942_2295,conserved hypothetical protein,SYNPCC7942_RS11665,hypothetical protein,No COG annotation,Q31KU4,Op1709,NC_007604.1,2364988,2366091,+
SYNPCC7942_RS11670,Synpcc7942_2296,SE_2366,glnA,L-glutamine synthetase,glnT,L-glutamine synthetase type IV subunit,glnT,type III glutamate--ammonia ligase,Amino acid transport and metabolism,Q31KU3,Op1710,NC_007604.1,2366072,2367376,-
SYNPCC7942_RS11675,Synpcc7942_2297,SE_2367,tal,transaldolase,tal,transaldolase,SYNPCC7942_RS11675,transaldolase,Nucleotide transport and metabolism,Q31KU2,Op1711,NC_007604.1,2367528,2368721,-
SYNPCC7942_RS11680,Synpcc7942_2298,SE_2368,ruvA,Holliday junction DNA helicase subunit RuvA,SYNPCC7942_2298,Holliday junction DNA helicase RuvA,ruvA,Holliday junction branch migration protein RuvA,"Replication, recombination and repair",Q31KU1,Op1712,NC_007604.1,2368966,2369589,+
SYNPCC7942_RS11685,Synpcc7942_2299,SE_2369,rpsO,30S ribosomal protein S15,rpsO,30S ribosomal subunit protein S15,rpsO,30S ribosomal protein S15,"Translation, ribosomal structure and biogenesis",Q31KU0,Op1712,NC_007604.1,2369635,2369904,+
SYNPCC7942_RS11690,Synpcc7942_2300,SE_2370,SE_2370,Protein of unknown function (DUF3464),SYNPCC7942_2300,conserved hypothetical protein,SYNPCC7942_RS11690,PAM68 family protein,Function unknown,A0A0H3K4H4,Op1712,NC_007604.1,2369910,2370404,+
SYNPCC7942_RS11695,Synpcc7942_2301,SE_2371,SE_2371,hypothetical protein,SYNPCC7942_2301,hypothetical protein,SYNPCC7942_RS11695,hypothetical protein,No COG annotation,Q31KT8,Op1713,NC_007604.1,2370542,2370814,+
SYNPCC7942_RS11700,Synpcc7942_2302,SE_2372,SE_2372,hypothetical protein,SYNPCC7942_2302,conserved hypothetical protein,SYNPCC7942_RS11700,hypothetical protein,Function unknown,A0A0H3K7A8,Op1714,NC_007604.1,2370891,2371247,-
SYNPCC7942_RS11705,Synpcc7942_2303,SE_2373,folP,Dihydropteroate synthase,folP,dihydropteroate synthase,folP,dihydropteroate synthase,Coenzyme transport and metabolism,Q31KT6,Op1715,NC_007604.1,2371417,2372253,+
SYNPCC7942_RS11710,Synpcc7942_2304,SE_2374,ppnK,NAD kinase,ppnK1,NAD(+) kinase 1,SYNPCC7942_RS11710,NAD(+) kinase,Nucleotide transport and metabolism,Q31KT5,Op1716,NC_007604.1,2372353,2373270,+
SYNPCC7942_RS11715,Synpcc7942_2305,SE_2375,nblR,"two component transcriptional regulator, winged helix family",nblR,NblR response regulator,SYNPCC7942_RS11715,response regulator transcription factor,Transcription,A0A0H3K3S5,Op1717,NC_007604.1,2373315,2374001,+
SYNPCC7942_RS11720,Synpcc7942_2306,SE_2376,SE_2376,DnaJ domain-containing protein,SYNPCC7942_2306,Heat shock protein DnaJ-like,SYNPCC7942_RS11720,DnaJ domain-containing protein,"Post-translational modification, protein turnover,and chaperones",UPI00031757FE,Op1718,NC_007604.1,2374143,2374721,+
SYNPCC7942_RS11725,Synpcc7942_2307,SE_2377,SE_2377,hypothetical protein,SYNPCC7942_2307,conserved hypothetical protein,SYNPCC7942_RS11725,hypothetical protein,Defense mechanisms,A0A0H3KAU9,Op1718,NC_007604.1,2374725,2375735,+
SYNPCC7942_RS11730,Synpcc7942_2308,SE_2378,gcvT,glycine cleavage system aminomethyltransferase GcvT,gcvT,glycine cleavage system T protein,gcvT,glycine cleavage system aminomethyltransferase GcvT,Amino acid transport and metabolism,Q31KT1,Op1719,NC_007604.1,2375865,2376983,+
SYNPCC7942_RS11735,Synpcc7942_2309,SE_2379,2-cys prx,peroxiredoxin (alkyl hydroperoxide reductase subunit C),tpxA,2-Cys peroxiredoxin,SYNPCC7942_RS11735,peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",Q7X4K8,Op1720,NC_007604.1,2377107,2377703,-
SYNPCC7942_RS11740,Synpcc7942_2310,SE_2380,SE_2380,Glutamate or tyrosine decarboxylase,ddc,"L-2,4-diaminobutyrate decarboxylase",SYNPCC7942_RS11740,2-diaminobutyrate decarboxylase,Amino acid transport and metabolism,Q31KS9,Op1721,NC_007604.1,2377778,2379247,-
SYNPCC7942_RS11750,Synpcc7942_2311,SE_2382,SE_2382,hypothetical protein,SYNPCC7942_2311,conserved hypothetical protein,SYNPCC7942_RS11750,hypothetical protein,No COG annotation,UPI00003A0456,Op1722,NC_007604.1,2379602,2380381,-
