locus_tag,old_locus_tag,gene_name,cycbio_gene_name,cycbio_gene_product,gene_product,COG,uniprot,start,end,strand
SYNPCC7942_RS09700,Synpcc7942_1912,phoU,phoU,regulatory protein PhoU,phosphate signaling complex protein PhoU,Inorganic ion transport and metabolism,A0A0H3K5A5,1988931,1989605,-
SYNPCC7942_RS09705,Synpcc7942_1912a,psaM,SYNPCC7942_RS09705,SYNPCC7942_RS09705,photosystem I reaction center subunit XII,No COG annotation,Q5MZZ8,1989729,1989818,+
SYNPCC7942_RS09710,Synpcc7942_1913,SYNPCC7942_RS09710,SYNPCC7942_1913,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K8J4,1989975,1990358,+
SYNPCC7942_RS09715,Synpcc7942_1914,SYNPCC7942_RS09715,SYNPCC7942_1914,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K510,1990394,1990852,+
SYNPCC7942_RS09720,Synpcc7942_1915,aroH,aroH,chorismate mutase,chorismate mutase,Amino acid transport and metabolism,A0A0H3K4N6,1991020,1991412,-
SYNPCC7942_RS09725,Synpcc7942_1916,sppA,sppA,"signal peptide peptidase SppA, 36K type",signal peptide peptidase SppA,"Post-translational modification, protein turnover,and chaperones",A0A0H3KC06,1991469,1992281,-
SYNPCC7942_RS09730,Synpcc7942_1917,SYNPCC7942_RS09730,rhaT,permease of the drug metabolite transporter,EamA family transporter,Amino acid transport and metabolism,Q31LX2,1992369,1993463,+
SYNPCC7942_RS09735,Synpcc7942_1918,SYNPCC7942_RS09735,BGluT,UDP-glucose:tetrahydrobiopterin glucosyltransferase,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,UPI000F7DC2B9,1993650,1994600,+
SYNPCC7942_RS09740,Synpcc7942_1919,SYNPCC7942_RS09740,SYNPCC7942_1919,"transcriptional regulator, XRE family",helix-turn-helix transcriptional regulator,No COG annotation,A0A0H3K506,1994565,1995326,-
SYNPCC7942_RS09745,Synpcc7942_1920,leuS,leuS,leucyl-tRNA synthetase,leucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q31LW9,1995596,1998193,-
SYNPCC7942_RS09750,Synpcc7942_1921,SYNPCC7942_RS09750,SYNPCC7942_1921,conserved hypothetical protein,gamma-glutamylcyclotransferase,Function unknown,A0A0H3K4N1,1998203,1998655,+
SYNPCC7942_RS09755,Synpcc7942_1922,SYNPCC7942_RS09755,SYNPCC7942_1922,putative transmembrane transcriptional regulator,hypothetical protein,Transcription,A0A0H3KBZ3,1998656,1999156,-
SYNPCC7942_RS09760,Synpcc7942_1923,SYNPCC7942_RS09760,sigG,sigma-24 (FecI-like),sigma-70 family RNA polymerase sigma factor,Transcription,A0A0H3K594,1999240,1999896,-
SYNPCC7942_RS09765,Synpcc7942_1924,SYNPCC7942_RS09765,SYNPCC7942_1924,conserved hypothetical protein,late competence development ComFB family protein,Function unknown,UPI000584A48F,2000205,2000726,-
SYNPCC7942_RS09770,Synpcc7942_1925,SYNPCC7942_RS09770,SYNPCC7942_1925,probable peptidase,M23 family metallopeptidase,Cell wall/membrane/envelope biogenesis,Q31LW4,2000732,2001583,-
SYNPCC7942_RS09775,Synpcc7942_1926,SYNPCC7942_RS09775,SYNPCC7942_1926,conserved hypothetical protein,hypothetical protein,Function unknown,A0A0H3K4M7,2001647,2001940,-
SYNPCC7942_RS09780,Synpcc7942_1927,SYNPCC7942_RS09780,dapF,diaminopimelate epimerase,diaminopimelate epimerase,Amino acid transport and metabolism,Q31LW2,2001982,2002824,+
SYNPCC7942_RS09785,Synpcc7942_1928,SYNPCC7942_RS09785,SYNPCC7942_1928,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3KBY6,2002837,2003079,+
SYNPCC7942_RS09790,Synpcc7942_1929,SYNPCC7942_RS09790,SYNPCC7942_1929,cysteine desulfurase,cysteine desulfurase,Amino acid transport and metabolism,A0A0H3K589,2003133,2004293,+
SYNPCC7942_RS09795,Synpcc7942_1930,SYNPCC7942_RS09795,SYNPCC7942_1930,conserved hypothetical protein,DUF1995 family protein,Function unknown,A0A0H3K8G1,2004305,2005048,+
SYNPCC7942_RS09800,Synpcc7942_1931,SYNPCC7942_RS09800,SYNPCC7942_1931,probable serine/threonine protein phosphatase,serine/threonine protein phosphatase,Signal transduction mechanisms,A0A0H3K4Z8,2005055,2005825,+
SYNPCC7942_RS09805,Synpcc7942_1932,SYNPCC7942_RS09805,SYNPCC7942_1932,conserved hypothetical protein,DUF4330 domain-containing protein,Function unknown,A0A0H3K4M2,2006047,2006580,+
SYNPCC7942_RS09810,Synpcc7942_1933,SYNPCC7942_RS09810,fni,isopentenyl-diphosphate delta-isomerase,type 2 isopentenyl-diphosphate Delta-isomerase,Energy production and conversion,Q31LV6,2006589,2007635,+
SYNPCC7942_RS09815,Synpcc7942_1934,dacB,dacB,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,Cell wall/membrane/envelope biogenesis,UPI0008FF2E9B,2007533,2008990,+
SYNPCC7942_RS09820,Synpcc7942_1935,SYNPCC7942_RS09820,pilD,Prepilin peptidase,prepilin peptidase,Cell motility,A0A0H3K584,2009232,2010020,-
SYNPCC7942_RS09825,Synpcc7942_1936,SYNPCC7942_RS09825,SYNPCC7942_1936,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31LV3,2010026,2010268,-
SYNPCC7942_RS09830,Synpcc7942_1937,msrA,msrA,peptide methionine sulfoxide reductase,peptide-methionine (S)-S-oxide reductase MsrA,Energy production and conversion,Q31LV2,2010387,2011127,-
SYNPCC7942_RS09835,Synpcc7942_1938,arsB,SYNPCC7942_1938,multidrug-efflux transporter,ACR3 family arsenite efflux transporter,Inorganic ion transport and metabolism,Q31LV1,2011214,2012275,-
SYNPCC7942_RS09840,Synpcc7942_1939,SYNPCC7942_RS09840,gap3,"glyceraldehyde-3-phosphate dehydrogenase, type I",ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,Q9WWL7,2012363,2013364,+
SYNPCC7942_RS09845,Synpcc7942_1940,arsJ,SYNPCC7942_1940,putative membrane transporter,organoarsenical effux MFS transporter ArsJ,Inorganic ion transport and metabolism,A0A0H3K580,2013361,2014620,+
SYNPCC7942_RS09850,Synpcc7942_1941,SYNPCC7942_RS09850,SYNPCC7942_1941,conserved hypothetical protein,hypothetical protein,Function unknown,Q31LU8,2014681,2015577,+
SYNPCC7942_RS09855,Synpcc7942_1942,SYNPCC7942_RS09855,prxQ-A3,peroxiredoxin PrxQ-A3,peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",A0A0H3K4Y7,2015645,2016097,+
SYNPCC7942_RS09860,Synpcc7942_1943,SYNPCC7942_RS09860,ftn2,cell division protein Ftn2,DUF4101 domain-containing protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K4L2,2016143,2018038,-
SYNPCC7942_RS09865,Synpcc7942_1944,pdhA,SYNPCC7942_RS09865,SYNPCC7942_RS09865,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Energy production and conversion,A0A0H3KBW8,2018389,2019417,+
SYNPCC7942_RS09870,Synpcc7942_1945,uvrC,uvrC,"excinuclease ABC, C subunit",excinuclease ABC subunit UvrC,"Replication, recombination and repair",Q31LU4,2019498,2021429,-
SYNPCC7942_RS09875,Synpcc7942_1946,SYNPCC7942_RS09875,SYNPCC7942_1946,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K574,2021493,2021972,-
SYNPCC7942_RS09880,Synpcc7942_1947,SYNPCC7942_RS09880,SYNPCC7942_1947,conserved hypothetical protein,Ig-like domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K8D7,2022089,2023540,-
SYNPCC7942_RS09885,Synpcc7942_1948,SYNPCC7942_RS09885,SYNPCC7942_1948,conserved hypothetical protein,2TM domain-containing protein,No COG annotation,A0A0H3K4Y2,2023694,2023939,+
SYNPCC7942_RS09890,Synpcc7942_1949,SYNPCC7942_RS09890,SYNPCC7942_1949,conserved hypothetical protein,DUF3181 family protein,Function unknown,Q54771,2024003,2024311,+
SYNPCC7942_RS09895,Synpcc7942_1950,SYNPCC7942_RS09895,SYNPCC7942_1950,conserved hypothetical protein,hypothetical protein,Function unknown,A0A0H3KBW1,2024388,2024639,+
SYNPCC7942_RS09900,Synpcc7942_1951,SYNPCC7942_RS09900,SYNPCC7942_1951,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K571,2024828,2025190,+
SYNPCC7942_RS09910,Synpcc7942_1952,SYNPCC7942_RS09910,SYNPCC7942_1952,conserved hypothetical protein,hypothetical protein,No COG annotation,Q54773,2025399,2025740,+
SYNPCC7942_RS09915,Synpcc7942_1953,SYNPCC7942_RS09915,sscR2,6-pyruvoyl tetrahydrobiopterin synthase,6-carboxytetrahydropterin synthase,Coenzyme transport and metabolism,A0A0H3K4X7,2025793,2026179,-
SYNPCC7942_RS09920,Synpcc7942_1954,SYNPCC7942_RS09920,pyrG,CTP synthase,CTP synthase,Nucleotide transport and metabolism,Q54775,2026183,2027823,-
SYNPCC7942_RS09925,Synpcc7942_1956,SYNPCC7942_RS09925,SYNPCC7942_RS09925,SYNPCC7942_RS09925,acetyl-CoA carboxylase carboxyltransferase subunit beta,Lipid transport and metabolism,Q54776,2028196,2029113,+
SYNPCC7942_RS09930,Synpcc7942_1957,SYNPCC7942_RS09930,SYNPCC7942_1957,cyclic nucleotide-binding domain (cNMP-BD) protein,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,A0A0H3K4K2,2029234,2029671,-
SYNPCC7942_RS09935,Synpcc7942_1958,SYNPCC7942_RS09935,SYNPCC7942_1958,conserved hypothetical protein,helix-turn-helix transcriptional regulator,No COG annotation,A0A0H3KBV3,2029762,2030133,-
SYNPCC7942_RS09940,Synpcc7942_1959,SYNPCC7942_RS09940,proS,prolyl-tRNA synthetase,proline--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q31LT0,2030340,2032142,+
SYNPCC7942_RS09945,Synpcc7942_1960,SYNPCC7942_RS09945,SYNPCC7942_1960,conserved hypothetical protein,TIGR02652 family protein,Function unknown,Q31LS9,2032190,2032696,-
SYNPCC7942_RS09950,Synpcc7942_1961,SYNPCC7942_RS09950,fbp,ferripyochelin binding protein,gamma carbonic anhydrase family protein,Function unknown,A0A0H3K8C1,2032854,2033402,+
SYNPCC7942_RS09955,Synpcc7942_1962,SYNPCC7942_RS09955,psbY,photosystem II PsbY protein,photosystem II protein Y,No COG annotation,Q31LS7,2033449,2033571,+
SYNPCC7942_RS09960,Synpcc7942_1963,SYNPCC7942_RS09960,SYNPCC7942_1963,conserved hypothetical protein,LD-carboxypeptidase,Defense mechanisms,A0A0H3K4X2,2033871,2034767,-
SYNPCC7942_RS09965,Synpcc7942_1964,SYNPCC7942_RS09965,ubiA,4-hydroxybenzoate polyprenyl transferase,4-hydroxybenzoate solanesyltransferase,Coenzyme transport and metabolism,UPI00003A0333,2034764,2035642,-
SYNPCC7942_RS09970,Synpcc7942_1965,SYNPCC7942_RS09970,ppx,exopolyphosphatase,Ppx/GppA family phosphatase,Nucleotide transport and metabolism,Q31LS4,2035730,2037379,+
SYNPCC7942_RS09975,Synpcc7942_1966,SYNPCC7942_RS09975,SYNPCC7942_1966,conserved hypothetical protein,chlororespiratory reduction protein 7,Function unknown,A0A0H3K561,2037413,2037670,+
SYNPCC7942_RS09980,Synpcc7942_1967,SYNPCC7942_RS09980,uppP,"undecaprenol kinase, putative",undecaprenyl-diphosphate phosphatase,Defense mechanisms,Q31LS2,2037772,2038638,+
SYNPCC7942_RS09985,Synpcc7942_1968,SYNPCC7942_RS09985,SYNPCC7942_1968,conserved hypothetical protein,TIGR03279 family radical SAM protein,Energy production and conversion,Q31LS1,2038685,2040043,+
SYNPCC7942_RS09990,Synpcc7942_1969,SYNPCC7942_RS09990,abrB,Transcriptional regulator AbrB,hypothetical protein,Transcription,A0A0H3K4W6,2040474,2040851,+
SYNPCC7942_RS09995,,SYNPCC7942_RS09995,SYNPCC7942_RS09995,SYNPCC7942_RS09995,amidohydrolase,Function unknown,,2041038,2042224,-
SYNPCC7942_RS10000,Synpcc7942_1972,SYNPCC7942_RS10000,SYNPCC7942_1972,TPR repeat,tetratricopeptide repeat protein,Function unknown,A0A0H3KBT9,2042290,2043057,-
SYNPCC7942_RS10005,Synpcc7942_1973,SYNPCC7942_RS10005,cpsB,mannose-1-phosphate guanyltransferase,NDP-sugar synthase,Coenzyme transport and metabolism,A0A0H3K555,2043151,2044320,-
SYNPCC7942_RS10010,Synpcc7942_1974,SYNPCC7942_RS10010,ScpA,condensin subunit ScpA,segregation/condensation protein A,"Cell cycle control, cell division, chromosome partitioning",Q31LR5,2044388,2045224,-
SYNPCC7942_RS10015,Synpcc7942_1975,SYNPCC7942_RS10015,SYNPCC7942_1975,conserved hypothetical protein,LapA family protein,Function unknown,A0A0H3K4W0,2045410,2045763,-
SYNPCC7942_RS10020,Synpcc7942_1976,SYNPCC7942_RS10020,ndhD1,"proton-translocating NADH-quinone oxidoreductase, subunit NdhD1",photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit D1,Energy production and conversion,Q31LR3,2045793,2047397,-
SYNPCC7942_RS10025,Synpcc7942_1977,SYNPCC7942_RS10025,ndhF1,"proton-translocating NADH-quinone oxidoreductase, subunit NdhF1",NAD(P)H-quinone oxidoreductase subunit 5,Energy production and conversion,Q31LR2,2047567,2049564,-
SYNPCC7942_RS10030,Synpcc7942_1978,SYNPCC7942_RS10030,trx3,thioredoxin,thioredoxin family protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3KBT2,2049645,2049980,-
SYNPCC7942_RS10035,Synpcc7942_1979,SYNPCC7942_RS10035,SYNPCC7942_1979,membrane protein-like,hypothetical protein,Function unknown,Q9ALA6,2050014,2050736,-
SYNPCC7942_RS10040,Synpcc7942_1980,SYNPCC7942_RS10040,SYNPCC7942_1980,LysR family transcriptional regulator,LysR family transcriptional regulator,Transcription,Q99QJ5,2050905,2051894,+
SYNPCC7942_RS10045,Synpcc7942_1981,SYNPCC7942_RS10045,SYNPCC7942_1981,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31LQ8,2051891,2052499,-
SYNPCC7942_RS10050,Synpcc7942_1982,SYNPCC7942_RS10050,ndhM,NADH dehydrogenase I subunit M,NAD(P)H-quinone oxidoreductase subunit M,Energy production and conversion,Q31LQ7,2052499,2052831,-
SYNPCC7942_RS10055,Synpcc7942_1983,pds,zds2,"Carotene 7,8-desaturase",15-cis-phytoene desaturase,Amino acid transport and metabolism,P26294,2052981,2054405,+
SYNPCC7942_RS10060,Synpcc7942_1984,SYNPCC7942_RS10060,crtB,phytoene synthase,phytoene synthase,Lipid transport and metabolism,A0A0H3KBS5,2054486,2055412,+
SYNPCC7942_RS10065,Synpcc7942_1985,SYNPCC7942_RS10065,SYNPCC7942_1985,conserved hypothetical protein,fructosamine kinase family protein,Carbohydrate transport and metabolism,A0A0H3K546,2055445,2056338,-
SYNPCC7942_RS10070,Synpcc7942_1986,SYNPCC7942_RS10070,pqqL,processing protease,insulinase family protein,Function unknown,UPI00005E28CA,2056331,2057653,-
SYNPCC7942_RS10075,Synpcc7942_1987,SYNPCC7942_RS10075,rpaC,(Regulator of Phycobilisome Association C (RpaC),hypothetical protein,No COG annotation,Q31LQ2,2057819,2058133,+
SYNPCC7942_RS10080,Synpcc7942_1988,SYNPCC7942_RS10080,SYNPCC7942_1988,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K4H8,2058724,2059857,-
SYNPCC7942_RS10085,Synpcc7942_1989,SYNPCC7942_RS10085,SYNPCC7942_1989,Cation efflux family protein,cation transporter,Inorganic ion transport and metabolism,A0A0H3KBR7,2059907,2060818,-
SYNPCC7942_RS10090,Synpcc7942_1990,SYNPCC7942_RS10090,SYNPCC7942_1990,conserved hypothetical protein,TMEM165/GDT1 family protein,Function unknown,Q31LP9,2060865,2061527,-
SYNPCC7942_RS10095,Synpcc7942_1991,mscL,mscL,large conductance mechanosensitive channel protein,large conductance mechanosensitive channel protein MscL,Cell wall/membrane/envelope biogenesis,Q31LP8,2061920,2062321,-
SYNPCC7942_RS10100,Synpcc7942_1992,mtnA,mtnA,Methylthioribose-1-phosphate isomerase,S-methyl-5-thioribose-1-phosphate isomerase,"Translation, ribosomal structure and biogenesis",Q31LP7,2062388,2063434,-
SYNPCC7942_RS10105,Synpcc7942_1993,mtnB,mtnB,Methylthioribulose-1-phosphate dehydratase,methylthioribulose 1-phosphate dehydratase,Coenzyme transport and metabolism,A0A0H3K884,2063554,2064174,+
SYNPCC7942_RS10110,Synpcc7942_1994,mtnC,mtnC,"2,3-diketo-5-methylthio-1-phosphopentane phosphatase",acireductone synthase,Nucleotide transport and metabolism,Q31LP5,2064180,2064896,+
SYNPCC7942_RS10115,Synpcc7942_1995,SYNPCC7942_RS10115,hisIE,histidine biosynthesis bifunctional protein HisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,Amino acid transport and metabolism,A0A0H3K4U4,2064926,2065561,-
SYNPCC7942_RS10120,Synpcc7942_1996,SYNPCC7942_RS10120,SYNPCC7942_1996,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K4H3,2065617,2065967,-
SYNPCC7942_RS10125,Synpcc7942_1997,SYNPCC7942_RS10125,hliA,high light-inducible protein,high light inducible protein,Function unknown,A0A0H3KBQ9,2066152,2066370,-
SYNPCC7942_RS10130,Synpcc7942_1998,SYNPCC7942_RS10130,SYNPCC7942_1998,GAF,GAF domain-containing protein,Signal transduction mechanisms,A0A0H3K535,2066556,2067143,+
SYNPCC7942_RS10135,Synpcc7942_1999,SYNPCC7942_RS10135,rbp2,RNA-binding region RNP-1,RNA-binding protein,Function unknown,A0A0H3K876,2067448,2067735,-
SYNPCC7942_RS10140,Synpcc7942_2000,SYNPCC7942_RS10140,mrcA3,Penicillin-binding protein 1A,transglycosylase domain-containing protein,Cell wall/membrane/envelope biogenesis,Q31LN9,2067958,2070180,-
SYNPCC7942_RS10145,Synpcc7942_2001,SYNPCC7942_RS10145,minC,septum site-determining protein MinC,septum site-determining protein MinC,"Cell cycle control, cell division, chromosome partitioning",UPI00003A0353,2070348,2071175,-
SYNPCC7942_RS14070,,SYNPCC7942_RS14070,SYNPCC7942_RS14070,SYNPCC7942_RS14070,hypothetical protein,No COG annotation,UPI0002FBF971,2071163,2071336,-
SYNPCC7942_RS10155,,SYNPCC7942_RS10155,SYNPCC7942_RS10155,SYNPCC7942_RS10155,hypothetical protein,No COG annotation,Q31LN7,2071335,2072045,+
SYNPCC7942_RS10160,Synpcc7942_2003,SYNPCC7942_RS10160,SYNPCC7942_2003,conserved hypothetical protein,CHRD domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31LN6,2072093,2072806,+
SYNPCC7942_RS10165,Synpcc7942_2004,SYNPCC7942_RS10165,sigI,sigma-24 (FecI-like),sigma-70 family RNA polymerase sigma factor,Transcription,A0A0H3K4T5,2073028,2073618,+
SYNPCC7942_RS10170,Synpcc7942_2005,SYNPCC7942_RS10170,SYNPCC7942_2005,flm3 region hypothetical protein 4,anti-sigma factor,Function unknown,A0A0H3K4G3,2073628,2074449,+
SYNPCC7942_RS10175,Synpcc7942_2006,SYNPCC7942_RS10175,cdv3,DivIVA-like cell division regulating protein,hypothetical protein,"Replication, recombination and repair",A0A0H3KBP3,2074598,2075284,-
SYNPCC7942_RS10180,Synpcc7942_2007,coaD,coaD,Coenzyme A biosynthesis protein,pantetheine-phosphate adenylyltransferase,Nucleotide transport and metabolism,Q55235,2075281,2075781,-
SYNPCC7942_RS10185,Synpcc7942_2008,SYNPCC7942_RS10185,SYNPCC7942_2008,conserved hypothetical protein,flavin reductase,Function unknown,Q07948,2075871,2076353,+
SYNPCC7942_RS10190,Synpcc7942_2009,SYNPCC7942_RS10190,SYNPCC7942_2009,conserved hypothetical protein,SMC family ATPase,"Replication, recombination and repair",Q31LN0,2076365,2079133,+
SYNPCC7942_RS10195,,SYNPCC7942_RS10195,SYNPCC7942_RS10195,SYNPCC7942_RS10195,cytochrome c-550,Energy production and conversion,UPI00005E28CD,2079493,2080140,-
SYNPCC7942_RS10200,Synpcc7942_2011,SYNPCC7942_RS10200,rnz,Ribonuclease Z,ribonuclease Z,"Translation, ribosomal structure and biogenesis",A0A0H3K4T0,2080210,2081391,-
SYNPCC7942_RS10205,Synpcc7942_2012,SYNPCC7942_RS10205,SYNPCC7942_2012,stage II sporulation protein D-like,SpoIID/LytB domain-containing protein,"Cell cycle control, cell division, chromosome partitioning",Q31LM7,2081506,2082729,+
SYNPCC7942_RS10210,Synpcc7942_2013,SYNPCC7942_RS10210,SYNPCC7942_2013,conserved hypothetical protein,PD40 domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3KBN4,2082726,2083253,-
SYNPCC7942_RS10215,Synpcc7942_2014,SYNPCC7942_RS10215,SYNPCC7942_2014,conserved hypothetical protein,TolB family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI000674A91E,2083250,2083804,-
SYNPCC7942_RS10220,Synpcc7942_2015,SYNPCC7942_RS10220,SYNPCC7942_2015,conserved hypothetical protein YCF66,Ycf66 family protein,Function unknown,Q31LM4,2083852,2084685,-
SYNPCC7942_RS10225,Synpcc7942_2016,SYNPCC7942_RS10225,psbX,PsbX,photosystem II reaction center X protein,"Intracellular trafficking, secretion, and vesicular transport",Q31LM3,2084803,2084922,-
SYNPCC7942_RS10230,Synpcc7942_2017,SYNPCC7942_RS10230,SYNPCC7942_2017,conserved hypothetical protein,YggT family protein,Function unknown,A0A0H3K4S4,2085077,2085370,+
SYNPCC7942_RS10240,Synpcc7942_2018,SYNPCC7942_RS10240,SYNPCC7942_2018,conserved hypothetical protein,DUF3493 domain-containing protein,Function unknown,A0A0H3K4F5,2085584,2085829,+
SYNPCC7942_RS10245,Synpcc7942_2019,SYNPCC7942_RS10245,SYNPCC7942_2019,conserved hypothetical protein,low-complexity tail membrane protein,No COG annotation,A0A0H3KBM6,2085893,2086762,-
SYNPCC7942_RS10250,Synpcc7942_2020,infB,infB,translation initiation factor IF-2,translation initiation factor IF-2,"Translation, ribosomal structure and biogenesis",Q31LL9,2086845,2089937,-
SYNPCC7942_RS10255,Synpcc7942_2021,SYNPCC7942_RS10255,SYNPCC7942_2021,conserved hypothetical protein,YlxR family protein,Transcription,A0A0H3K515,2090088,2090381,-
SYNPCC7942_RS10260,Synpcc7942_2022,nusA,nusA,NusA antitermination factor,transcription termination factor NusA,Transcription,Q31LL7,2090378,2091703,-
SYNPCC7942_RS10265,Synpcc7942_2023,rimP,SYNPCC7942_2023,conserved hypothetical protein,ribosome maturation factor RimP,"Translation, ribosomal structure and biogenesis",Q31LL6,2091760,2092221,-
SYNPCC7942_RS10270,Synpcc7942_2024,SYNPCC7942_RS10270,SYNPCC7942_2024,conserved hypothetical protein,DUF72 domain-containing protein,Function unknown,A0A0H3K4R9,2092386,2093258,-
SYNPCC7942_RS10275,Synpcc7942_2025,SYNPCC7942_RS10275,SYNPCC7942_2025,probable glycosyltransferase,glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K4F0,2093363,2094448,+
SYNPCC7942_RS10280,Synpcc7942_2026,SYNPCC7942_RS10280,SYNPCC7942_2026,probable glycosyltransferase,undecaprenyl-phosphate glucose phosphotransferase,Cell wall/membrane/envelope biogenesis,A0A0H3KBL7,2094451,2095854,+
SYNPCC7942_RS10285,Synpcc7942_2027,SYNPCC7942_RS10285,SYNPCC7942_2027,probable glycosly transferase,glycosyltransferase,Function unknown,A0A0H3K511,2095857,2096600,+
SYNPCC7942_RS10290,Synpcc7942_2028,SYNPCC7942_RS10290,SYNPCC7942_2028,probable glycosyltransferase,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,A0A0H3K840,2096615,2097676,+
SYNPCC7942_RS10295,Synpcc7942_2029,SYNPCC7942_RS10295,pgi,Glucose-6-phosphate isomerase,glucose-6-phosphate isomerase,Nucleotide transport and metabolism,Q31LL0,2097799,2099385,+
SYNPCC7942_RS10300,Synpcc7942_2030,SYNPCC7942_RS10300,cpcG,phycobilisome rod-core linker polypeptide,phycobilisome rod-core linker polypeptide,Carbohydrate transport and metabolism,A0A0H3K4R3,2099548,2100300,-
SYNPCC7942_RS10305,Synpcc7942_2031,SYNPCC7942_RS10305,SYNPCC7942_2031,conserved hypothetical protein,phycobiliprotein lyase,Coenzyme transport and metabolism,Q31LK8,2100423,2101004,-
SYNPCC7942_RS10310,Synpcc7942_2032,SYNPCC7942_RS10310,SYNPCC7942_2032,multidrug-efflux transporter quinolene resistance protein NorA,tetracycline resistance MFS efflux pump,Amino acid transport and metabolism,Q31LK7,2101118,2102308,+
SYNPCC7942_RS10315,Synpcc7942_2033,SYNPCC7942_RS10315,SYNPCC7942_2033,conserved hypothetical protein,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31LK6,2102330,2103022,+
SYNPCC7942_RS10320,Synpcc7942_2034,SYNPCC7942_RS10320,SYNPCC7942_2034,conserved hypothetical protein,glycosyltransferase family 1 protein,Energy production and conversion,Q31LK5,2103270,2104508,+
SYNPCC7942_RS10325,Synpcc7942_2035,SYNPCC7942_RS10325,SYNPCC7942_2035,hypothetical protein,aromatic ring-hydroxylating dioxygenase subunit alpha,Inorganic ion transport and metabolism,Q31LK4,2104481,2105518,-
SYNPCC7942_RS10330,Synpcc7942_2036,SYNPCC7942_RS10330,SYNPCC7942_2036,conserved hypothetical protein,aromatic ring-hydroxylating dioxygenase subunit alpha,Inorganic ion transport and metabolism,Q31LK3,2105522,2106526,-
SYNPCC7942_RS10335,Synpcc7942_2037,SYNPCC7942_RS10335,SYNPCC7942_2037,conserved hypothetical protein,hypothetical protein,Function unknown,A0A0H3K502,2106519,2107163,-
SYNPCC7942_RS10340,Synpcc7942_2038,SYNPCC7942_RS10340,SYNPCC7942_2038,"transcriptional regulator, XRE family with cupin sensor domain",helix-turn-helix transcriptional regulator,Transcription,A0A0H3K825,2107367,2108059,-
SYNPCC7942_RS10345,Synpcc7942_2039,SYNPCC7942_RS10345,SYNPCC7942_2039,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31LK0,2108533,2109339,-
SYNPCC7942_RS10350,Synpcc7942_2040,sfsA,sfsA,sugar fermentation stimulation protein,DNA/RNA nuclease SfsA,Function unknown,Q31LJ9,2109423,2110133,-
SYNPCC7942_RS10355,Synpcc7942_2041,murJ,mviN,integral membrane protein MviN,murein biosynthesis integral membrane protein MurJ,Function unknown,Q31LJ8,2110181,2111803,+
SYNPCC7942_RS10360,Synpcc7942_2042,SYNPCC7942_RS10360,SYNPCC7942_2042,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K4Z6,2111810,2112136,-
SYNPCC7942_RS10365,Synpcc7942_2043,SYNPCC7942_RS10365,speH,S-adenosylmethionine decarboxylase,adenosylmethionine decarboxylase,Coenzyme transport and metabolism,A0A0H3K817,2112253,2112672,-
SYNPCC7942_RS10370,Synpcc7942_2044,SYNPCC7942_RS10370,SYNPCC7942_2044,conserved hypothetical protein,PRC-barrel domain-containing protein,Function unknown,A0A0H3K4P6,2112977,2113990,-
SYNPCC7942_RS10375,Synpcc7942_2045,smc,smc,Chromosome segregation protein SMC,chromosome segregation protein SMC,"Cell cycle control, cell division, chromosome partitioning",Q31LJ4,2114134,2117721,-
SYNPCC7942_RS10380,Synpcc7942_2046,gcvH,gcvH,glycine cleavage system H protein,glycine cleavage system protein GcvH,Amino acid transport and metabolism,Q31LJ3,2118062,2118451,+
