locus_tag,gene_name,start,end,strand,gene_product,uniprot,COG,KEGG_ko
SYNPCC7942_RS10695,SYNPCC7942_RS10695,2190917,2191900,-,methionyl-tRNA formyltransferase,Q31LC9,J,K00604
SYNPCC7942_RS10700,SYNPCC7942_RS10700,2192025,2192933,+,ROK family protein,Q31LC8,G,K00845
SYNPCC7942_RS10705,SYNPCC7942_RS10705,2192960,2193502,-,AAA family ATPase,A0A0H3K469,H,
SYNPCC7942_RS10710,SYNPCC7942_RS10710,2193730,2194725,+,ribose-phosphate pyrophosphokinase,Q59988,F,K00948
SYNPCC7942_RS10715,SYNPCC7942_RS10715,2194827,2195990,+,histidine kinase,Q06904,T,K08479
SYNPCC7942_RS10725,SYNPCC7942_RS10725,2196274,2197128,-,GNAT family N-acetyltransferase,A0A0H3K7T3,K,K03789
SYNPCC7942_RS10730,SYNPCC7942_RS10730,2197290,2198150,-,alpha/beta fold hydrolase,Q31LC3,S,K06889
SYNPCC7942_RS10735,gatA,2198155,2199594,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,Q31LC2,J,K02433
SYNPCC7942_RS10740,SYNPCC7942_RS10740,2199694,2199981,-,DUF1816 domain-containing protein,A0A0H3K463,T,
SYNPCC7942_RS10745,rlmB,2200097,2201656,-,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,Q31LC0,J,K03218
SYNPCC7942_RS10750,SYNPCC7942_RS10750,2201698,2202114,-,ribonuclease III,Q31LB9,J,K11145
SYNPCC7942_RS10755,SYNPCC7942_RS10755,2202117,2202509,-,STAS domain-containing protein,A0A0H3K4S9,T,
SYNPCC7942_RS10760,SYNPCC7942_RS10760,2202560,2203735,-,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,Q31LB7,F,K01956
SYNPCC7942_RS10765,trpD,2203801,2204847,-,anthranilate phosphoribosyltransferase,Q31LB6,F,K00766
SYNPCC7942_RS10770,SYNPCC7942_RS10770,2204908,2205879,-,histone deacetylase,Q31LB5,B,
SYNPCC7942_RS10775,SYNPCC7942_RS10775,2206002,2206403,+,hypothetical protein,A0A0H3K4H1,S,
SYNPCC7942_RS10780,SYNPCC7942_RS10780,2206400,2206804,-,hypothetical protein,A0A0H3K457,X,
SYNPCC7942_RS10785,SYNPCC7942_RS10785,2207167,2207346,+,phycobilisome degradation protein NblA,P35087,S,
SYNPCC7942_RS10790,SYNPCC7942_RS10790,2207506,2208081,-,thiol:disulfide interchange protein TxlA,A0A0H3K4S5,C,
SYNPCC7942_RS10795,SYNPCC7942_RS10795,2208154,2208558,+,4Fe-4S binding protein,A0A0H3K7R6,C,
SYNPCC7942_RS10800,SYNPCC7942_RS10800,2208566,2209150,+,hypothetical protein,A0A0H3K4G5,X,
SYNPCC7942_RS10805,SYNPCC7942_RS10805,2209183,2211255,-,transglycosylase SLT domain-containing protein,Q31LA8,M,K08309
SYNPCC7942_RS10810,SYNPCC7942_RS10810,2211315,2211494,+,hypothetical protein,UPI00003A03C7,X,
SYNPCC7942_RS10815,SYNPCC7942_RS10815,2211549,2212967,+,phosphoglucosamine mutase,Q31LA7,G,K03431
SYNPCC7942_RS10820,SYNPCC7942_RS10820,2212970,2213521,-,hypothetical protein,A0A0H3KB95,E,
SYNPCC7942_RS10825,SYNPCC7942_RS10825,2213659,2214708,-,N-acetylmuramoyl-L-alanine amidase,A0A0H3K4S0,M,K01448
SYNPCC7942_RS10830,SYNPCC7942_RS10830,2214773,2215456,-,hypothetical protein,A0A0H3K7Q9,S,
SYNPCC7942_RS10835,SYNPCC7942_RS10835,2215466,2216287,-,4-hydroxy-tetrahydrodipicolinate reductase,Q31LA3,E,K00215
SYNPCC7942_RS10840,SYNPCC7942_RS10840,2216577,2220563,+,magnesium chelatase subunit H,A0A0H3K4F9,H,K03403
SYNPCC7942_RS10845,SYNPCC7942_RS10845,2220725,2221294,+,hypothetical protein,UPI000585A666,X,
SYNPCC7942_RS14075,SYNPCC7942_RS14075,2221387,2221512,+,membrane protease subunit,,X,
SYNPCC7942_RS10850,SYNPCC7942_RS10850,2221934,2222959,+,type II toxin-antitoxin system HicA family toxin,Q31LA1,X,
SYNPCC7942_RS14080,SYNPCC7942_RS14080,2223130,2223279,-,hypothetical protein,UPI0002DC75B4,X,
SYNPCC7942_RS10855,SYNPCC7942_RS10855,2223602,2224213,+,glutathione S-transferase family protein,A0A0H3KB90,O,K00799
SYNPCC7942_RS10860,SYNPCC7942_RS10860,2224311,2224742,+,cytidine deaminase,A0A0H3K4R5,F,
SYNPCC7942_RS13810,SYNPCC7942_RS13810,2224903,2225079,+,TetR/AcrR family transcriptional regulator,,K,
SYNPCC7942_RS10865,SYNPCC7942_RS10865,2225299,2225652,+,cupin domain-containing protein,A0A0H3K7Q1,S,
SYNPCC7942_RS10870,SYNPCC7942_RS10870,2226031,2226495,+,hypothetical protein,A0A0H3K4F3,X,
SYNPCC7942_RS10875,SYNPCC7942_RS10875,2226468,2226803,-,translation initiation factor,Q31L97,J,K03113
SYNPCC7942_RS10880,trpB,2226908,2228170,+,tryptophan synthase subunit beta,A0A0H3KB82,E,K01696
SYNPCC7942_RS10890,SYNPCC7942_RS10890,2228529,2229017,-,thermonuclease family protein,Q31L95,L,
SYNPCC7942_RS10895,SYNPCC7942_RS10895,2229023,2229910,-,carbon-nitrogen hydrolase,UPI00003A03D3,S,K12251
SYNPCC7942_RS10900,SYNPCC7942_RS10900,2230024,2230323,+,hypothetical protein,UPI00003A03D4,X,
SYNPCC7942_RS10905,SYNPCC7942_RS10905,2230316,2230726,+,PIN domain-containing protein,A0A0H3K4E8,S,K07065
SYNPCC7942_RS10915,SYNPCC7942_RS10915,2230823,2231845,+,ABC transporter ATP-binding protein,A0A0H3K435,V,K01990
SYNPCC7942_RS10920,SYNPCC7942_RS10920,2231897,2232757,+,ABC transporter permease,A0A0H3KB79,V,K01992
SYNPCC7942_RS10925,SYNPCC7942_RS10925,2232979,2234022,+,linear amide C-N hydrolase,A0A0H3K4Q3,M,K01442
SYNPCC7942_RS10930,SYNPCC7942_RS10930,2234141,2236354,-,glycosyltransferase,Q31L88,M,K00694
SYNPCC7942_RS10935,SYNPCC7942_RS10935,2236384,2237643,-,HlyD family efflux transporter periplasmic adaptor subunit,Q31L87,V,
SYNPCC7942_RS10940,SYNPCC7942_RS10940,2237999,2238427,+,hypothetical protein,UPI0005846D28,X,
SYNPCC7942_RS10945,SYNPCC7942_RS10945,2238501,2238704,-,hypothetical protein,Q31L85,X,
SYNPCC7942_RS10950,SYNPCC7942_RS10950,2238733,2239107,-,hypothetical protein,UPI00000B0C4C,X,
SYNPCC7942_RS10955,glnA,2239305,2240726,-,type I glutamate--ammonia ligase,Q31L83,H,K01915
SYNPCC7942_RS10960,SYNPCC7942_RS10960,2240800,2241084,-,hypothetical protein,A0A0H3K4Q2,X,
SYNPCC7942_RS10965,apcB,2241120,2241629,+,allophycocyanin subunit beta,A0A0H3K7N0,C,K02097
SYNPCC7942_RS10970,SYNPCC7942_RS10970,2241719,2242651,+,alpha/beta hydrolase,A0A0H3K4D7,S,
SYNPCC7942_RS10975,SYNPCC7942_RS10975,2242713,2243867,+,alanine--glyoxylate aminotransferase family protein,Q31L79,E,K00830
SYNPCC7942_RS10980,SYNPCC7942_RS10980,2243880,2244536,+,class I SAM-dependent methyltransferase,A0A0H3KB69,S,
SYNPCC7942_RS10985,SYNPCC7942_RS10985,2244577,2244744,+,hypothetical protein,UPI00003A03DE,X,
SYNPCC7942_RS10990,SYNPCC7942_RS10990,2244725,2244934,-,hypothetical protein,UPI0005856B2F,X,
SYNPCC7942_RS10995,SYNPCC7942_RS10995,2245037,2245525,+,hypothetical protein,Q31L76,X,
SYNPCC7942_RS11000,SYNPCC7942_RS11000,2245607,2246992,+,Rieske 2Fe-2S domain-containing protein,A0A0H3K7M4,P,
SYNPCC7942_RS11005,SYNPCC7942_RS11005,2246989,2247369,-,hypothetical protein,A0A0H3K4D0,X,
SYNPCC7942_RS11010,SYNPCC7942_RS11010,2247486,2247857,-,hypothetical protein,A0A0H3K409,X,
SYNPCC7942_RS11015,SYNPCC7942_RS11015,2248016,2248468,-,hypothetical protein,A0A0H3KB64,X,
SYNPCC7942_RS11020,pcrA,2248681,2251065,+,DNA helicase PcrA,Q31L71,L,K03657
SYNPCC7942_RS11025,SYNPCC7942_RS11025,2251160,2251483,-,hypothetical protein,A0A0H3K7L6,X,
SYNPCC7942_RS11030,SYNPCC7942_RS11030,2251524,2251997,+,transcriptional repressor,UPI0012DC61D1,P,
SYNPCC7942_RS11035,SYNPCC7942_RS11035,2252196,2252726,-,DNA starvation/stationary phase protection protein,Q55024,P,K04047
SYNPCC7942_RS11040,SYNPCC7942_RS11040,2252961,2253221,+,hypothetical protein,Q31L67,X,
SYNPCC7942_RS11045,SYNPCC7942_RS11045,2253218,2253778,+,(2Fe-2S) ferredoxin domain-containing protein,Q31L66,C,
SYNPCC7942_RS11050,SYNPCC7942_RS11050,2253875,2254504,+,Crp/Fnr family transcriptional regulator,A0A0H3K4N8,K,
SYNPCC7942_RS11055,SYNPCC7942_RS11055,2254747,2255847,-,Fe(3+) ABC transporter substrate-binding protein,UPI000049BECF,P,K02012
SYNPCC7942_RS11060,SYNPCC7942_RS11060,2255951,2257096,-,FAD-binding oxidoreductase,A0A0H3K7K8,E,
SYNPCC7942_RS11065,SYNPCC7942_RS11065,2257161,2258033,+,branched-chain amino acid ABC transporter permease,UPI00003A03EC,U,K11956
SYNPCC7942_RS11070,SYNPCC7942_RS11070,2258054,2258395,-,phage holin family protein,A0A0H3K3Z9,S,K08972
SYNPCC7942_RS11075,SYNPCC7942_RS11075,2258445,2259359,-,lipid kinase,A0A0H3KB52,I,
SYNPCC7942_RS11080,SYNPCC7942_RS11080,2259490,2259927,-,peroxiredoxin,A0A0H3K4N5,O,K03564
SYNPCC7942_RS11085,SYNPCC7942_RS11085,2259980,2261125,-,site-2 protease family protein,UPI000F7D94CD,S,
SYNPCC7942_RS11090,SYNPCC7942_RS11090,2261244,2261429,-,hypothetical protein,Q31L57,X,
SYNPCC7942_RS11095,rnhA,2261556,2262341,-,ribonuclease HI,UPI000585CE88,L,K03469
SYNPCC7942_RS11100,SYNPCC7942_RS11100,2262518,2263318,+,class II glutamine amidotransferase,A0A0H3K3Z5,S,
SYNPCC7942_RS11105,SYNPCC7942_RS11105,2263403,2263807,+,hypothetical protein,A0A0H3KB46,I,
SYNPCC7942_RS11110,SYNPCC7942_RS11110,2264073,2265710,+,universal stress protein,Q31L53,P,
SYNPCC7942_RS11115,SYNPCC7942_RS11115,2265698,2266102,-,hypothetical protein,A0A0H3K7J6,X,
SYNPCC7942_RS11120,SYNPCC7942_RS11120,2266131,2267534,-,isochorismate synthase,A0A0H3K4A4,H,K02552
SYNPCC7942_RS14085,SYNPCC7942_RS14085,2267637,2267882,+,hypothetical protein,UPI0012DEC534,X,
SYNPCC7942_RS11125,msrB,2267935,2268357,+,peptide-methionine (R)-S-oxide reductase MsrB,A0A0H3K3Y9,C,K07305
SYNPCC7942_RS11130,SYNPCC7942_RS11130,2268423,2269154,-,TSUP family transporter,A0A0H3KB39,S,
SYNPCC7942_RS11135,SYNPCC7942_RS11135,2269294,2270901,+,diguanylate cyclase,Q31L47,T,
SYNPCC7942_RS11140,SYNPCC7942_RS11140,2270973,2272655,-,GAF domain-containing protein,Q31L46,T,
SYNPCC7942_RS11145,SYNPCC7942_RS11145,2272634,2273002,-,DUF3307 domain-containing protein,A0A0H3K498,S,
SYNPCC7942_RS11150,SYNPCC7942_RS11150,2272975,2274900,-,adenylate/guanylate cyclase domain-containing protein,Q31L44,T,K01768
SYNPCC7942_RS11155,SYNPCC7942_RS11155,2274904,2275545,-,FecR domain-containing protein,Q31L43,P,
SYNPCC7942_RS11160,proB,2275683,2276786,+,glutamate 5-kinase,Q31L42,F,K00931
SYNPCC7942_RS11165,SYNPCC7942_RS11165,2276800,2277930,+,DNA double-strand break repair nuclease NurA,A0A0H3K4M1,S,
SYNPCC7942_RS11170,SYNPCC7942_RS11170,2277916,2280528,-,trans-splicing intein-formed DNA polymerase III subunit alpha N-terminal partner DnaE-N,Q31L40,L,K02337
SYNPCC7942_RS11175,SYNPCC7942_RS11175,2280586,2281077,-,cupin domain-containing protein,Q31L39,G,
SYNPCC7942_RS11185,SYNPCC7942_RS11185,2281327,2282547,-,alanine racemase,Q31L38,M,K01775
SYNPCC7942_RS11190,SYNPCC7942_RS11190,2282672,2283169,+,HNH endonuclease,A0A0H3KB28,L,
SYNPCC7942_RS11195,prfA,2283183,2284289,-,peptide chain release factor 1,Q31L36,J,K02835
SYNPCC7942_RS11200,rpmE,2284391,2284624,-,50S ribosomal protein L31,Q31L35,J,K02909
SYNPCC7942_RS11205,rpsI,2284655,2285062,-,30S ribosomal protein S9,A0A0H3K4L7,J,K02996
SYNPCC7942_RS11210,rplM,2285062,2285517,-,50S ribosomal protein L13,Q31L33,J,K02871
SYNPCC7942_RS11215,truA,2285533,2286417,-,tRNA pseudouridine(38-40) synthase TruA,Q31L32,J,K06173
SYNPCC7942_RS11220,rplQ,2286420,2286770,-,50S ribosomal protein L17,O24711,J,K02879
SYNPCC7942_RS11225,SYNPCC7942_RS11225,2286806,2287735,-,DNA-directed RNA polymerase subunit alpha,O24710,K,K03040
SYNPCC7942_RS11230,rpsK,2287781,2288173,-,30S ribosomal protein S11,O24709,J,K02948
SYNPCC7942_RS11235,rpsM,2288243,2288620,-,30S ribosomal protein S13,O24708,J,K02952
SYNPCC7942_RS13815,rpmJ,2288775,2288888,-,50S ribosomal protein L36,O24707,J,K02919
SYNPCC7942_RS11240,SYNPCC7942_RS11240,2288962,2289522,-,adenylate kinase,O24706,F,K00939
SYNPCC7942_RS11245,secY,2289522,2290841,-,preprotein translocase subunit SecY,P0A4H0,U,K03076
SYNPCC7942_RS11250,SYNPCC7942_RS11250,2290963,2291406,-,50S ribosomal protein L15,P31160,J,K02876
SYNPCC7942_RS11255,rpsE,2291444,2291986,-,30S ribosomal protein S5,O24705,J,K02988
SYNPCC7942_RS11260,SYNPCC7942_RS11260,2291990,2292352,-,50S ribosomal protein L18,O24704,J,K02881
SYNPCC7942_RS11265,rplF,2292352,2292891,-,50S ribosomal protein L6,O24703,J,K02933
SYNPCC7942_RS11270,rpsH,2292928,2293329,-,30S ribosomal protein S8,O24702,J,K02994
SYNPCC7942_RS11275,rplE,2293357,2293896,-,50S ribosomal protein L5,O24701,J,K02931
SYNPCC7942_RS11280,SYNPCC7942_RS11280,2293939,2294280,-,50S ribosomal protein L24,O24700,J,K02895
SYNPCC7942_RS11285,rplN,2294280,2294645,-,50S ribosomal protein L14,O24699,J,K02874
SYNPCC7942_RS11290,rpsQ,2294657,2294905,-,30S ribosomal protein S17,O24698,J,K02961
SYNPCC7942_RS11295,SYNPCC7942_RS11295,2294940,2295134,-,50S ribosomal protein L29,O24697,J,K02904
SYNPCC7942_RS11300,rplP,2295137,2295565,-,50S ribosomal protein L16,O24696,J,K02878
SYNPCC7942_RS11305,rpsC,2295574,2296308,-,30S ribosomal protein S3,O24695,J,K02982
SYNPCC7942_RS11310,rplV,2296333,2296686,-,50S ribosomal protein L22,O24694,J,K02890
SYNPCC7942_RS11315,rpsS,2296705,2296980,-,30S ribosomal protein S19,O24693,J,K02965
SYNPCC7942_RS11320,rplB,2297012,2297875,-,50S ribosomal protein L2,Q31L10,J,K02886
SYNPCC7942_RS11325,SYNPCC7942_RS11325,2297905,2298207,-,50S ribosomal protein L23,O24691,J,K02892
SYNPCC7942_RS11330,rplD,2298200,2298832,-,50S ribosomal protein L4,O24690,J,K02926
SYNPCC7942_RS11335,SYNPCC7942_RS11335,2298877,2299518,-,50S ribosomal protein L3,O24689,J,K02906
SYNPCC7942_RS11345,SYNPCC7942_RS11345,2300183,2300659,+,NAD(P)H-quinone oxidoreductase subunit N,Q31L05,C,K05585
SYNPCC7942_RS11350,trmD,2300665,2301372,+,tRNA (guanosine(37)-N1)-methyltransferase TrmD,Q31L04,J,"K00554,ko:K01770"
SYNPCC7942_RS11355,SYNPCC7942_RS11355,2301380,2303044,-,ABC transporter ATP-binding protein,A0A0H3K7H5,P,"K02031,ko:K02032"
SYNPCC7942_RS11360,SYNPCC7942_RS11360,2303053,2303487,-,cobalamin biosynthesis protein,A0A0H3K488,H,
SYNPCC7942_RS11365,SYNPCC7942_RS11365,2303629,2305044,-,MFS transporter,Q31L01,E,
SYNPCC7942_RS11370,SYNPCC7942_RS11370,2305276,2305791,-,hypothetical protein,A0A0H3KB20,C,
SYNPCC7942_RS11375,SYNPCC7942_RS11375,2305961,2306491,+,GNAT family N-acetyltransferase,A0A0H3K4L1,K,
SYNPCC7942_RS13820,SYNPCC7942_RS13820,2306546,2307418,+,DUF4349 domain-containing protein,A0A0H3K7G7,D,
SYNPCC7942_RS14090,SYNPCC7942_RS14090,2307254,2308246,-,HAMP domain-containing histidine kinase,A0A0H3K483,T,
SYNPCC7942_RS11385,SYNPCC7942_RS11385,2308253,2309497,-,glutamate-5-semialdehyde dehydrogenase,Q31KZ6,E,K00147
SYNPCC7942_RS11395,SYNPCC7942_RS11395,2309788,2310333,-,6%2C7-dimethyl-8-ribityllumazine synthase,Q31KZ5,H,K00794
SYNPCC7942_RS11400,psbZ,2310343,2310531,-,photosystem II reaction center protein PsbZ,Q31KZ4,S,K02724
SYNPCC7942_RS11405,SYNPCC7942_RS11405,2310645,2312300,+,hypothetical protein,UPI0012DC7315,M,
SYNPCC7942_RS11410,mutS,2312310,2314958,+,DNA mismatch repair protein MutS,Q31KZ2,L,K03555
SYNPCC7942_RS11415,SYNPCC7942_RS11415,2315152,2315352,+,hypothetical protein,UPI00003A0419,X,
SYNPCC7942_RS11420,SYNPCC7942_RS11420,2315452,2315727,-,HU family DNA-binding protein,A0A0H3K4K7,L,K03530
SYNPCC7942_RS11425,SYNPCC7942_RS11425,2316062,2316487,-,adenosylmethionine decarboxylase,Q31KZ0,H,K01611
SYNPCC7942_RS11430,SYNPCC7942_RS11430,2316661,2316843,+,hypothetical protein,UPI00031E2484,X,
SYNPCC7942_RS11435,recF,2317075,2318238,-,DNA replication/repair protein RecF,Q31KY9,L,K03629
SYNPCC7942_RS13825,SYNPCC7942_RS13825,2318335,2318919,-,hypothetical protein,Q31KY8,K,
SYNPCC7942_RS11450,SYNPCC7942_RS11450,2318927,2321950,-,phosphoenolpyruvate carboxylase,UPI00003A041E,H,K01595
SYNPCC7942_RS11455,gshA,2322145,2323281,-,glutamate--cysteine ligase,UPI0005859834,H,
SYNPCC7942_RS11460,SYNPCC7942_RS11460,2323399,2324757,-,DUF3370 family protein,Q31KY5,N,
SYNPCC7942_RS11465,SYNPCC7942_RS11465,2325520,2325924,+,hypothetical protein,A0A0H3K4K3,K,
SYNPCC7942_RS11470,SYNPCC7942_RS11470,2326061,2326615,-,alpha/beta hydrolase,A0A0H3K7F1,S,
SYNPCC7942_RS13830,SYNPCC7942_RS13830,2326665,2326832,-,DUF3252 domain-containing protein,Q31KY2,S,
SYNPCC7942_RS11475,SYNPCC7942_RS11475,2327013,2328296,+,valine--pyruvate transaminase,A0A0H3K3W2,E,K00835
SYNPCC7942_RS11480,rimM,2328300,2328848,+,ribosome maturation factor RimM,Q31KY0,J,K02860
SYNPCC7942_RS11485,SYNPCC7942_RS11485,2328879,2329244,-,hypothetical protein,A0A0H3KB03,X,
SYNPCC7942_RS14095,SYNPCC7942_RS14095,2329256,2329417,-,hypothetical protein,UPI00003A0427,X,
SYNPCC7942_RS11490,SYNPCC7942_RS11490,2329449,2329790,-,divalent-cation tolerance protein CutA,A0A0H3K4J9,P,K03926
SYNPCC7942_RS11495,SYNPCC7942_RS11495,2329787,2331196,-,hypothetical protein,Q31KX7,D,
SYNPCC7942_RS11500,SYNPCC7942_RS11500,2331234,2332541,-,histidine--tRNA ligase,Q31KX6,J,K01892
SYNPCC7942_RS11505,SYNPCC7942_RS11505,2332654,2332929,-,response regulator transcription factor,A0A0H3K466,K,
SYNPCC7942_RS11510,SYNPCC7942_RS11510,2333329,2334624,+,glutamate-5-semialdehyde dehydrogenase,Q31KX4,E,K00147
SYNPCC7942_RS11515,SYNPCC7942_RS11515,2334654,2335718,-,extracellular solute-binding protein,Q31KX3,E,K02055
SYNPCC7942_RS11520,SYNPCC7942_RS11520,2335846,2336103,+,hypothetical protein,Q31KX2,X,
SYNPCC7942_RS11525,SYNPCC7942_RS11525,2336072,2337217,-,TIGR00303 family protein,A0A0H3KAZ5,H,
SYNPCC7942_RS11530,SYNPCC7942_RS11530,2337207,2337944,-,DUF2232 domain-containing protein,A0A0H3K4J4,S,
SYNPCC7942_RS11535,SYNPCC7942_RS11535,2337973,2339007,-,peptidase M42,A0A0H3K7D9,G,
SYNPCC7942_RS11540,SYNPCC7942_RS11540,2339045,2339596,-,NUDIX hydrolase,A0A0H3K461,L,K01515
SYNPCC7942_RS11545,folK,2339596,2340126,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,A0A0H3K3V3,H,K00950
SYNPCC7942_RS11550,SYNPCC7942_RS11550,2340153,2340920,+,PD-(D/E)XK nuclease family protein,A0A0H3KAY7,L,
SYNPCC7942_RS11555,bchD,2340963,2342996,+,magnesium chelatase ATPase subunit D,A0A0H3K4I9,H,K03404
SYNPCC7942_RS11570,SYNPCC7942_RS11570,2343882,2344334,-,hypothetical protein,A0A0H3K7D3,K,
SYNPCC7942_RS11575,SYNPCC7942_RS11575,2344591,2344899,-,hypothetical protein,A0A0H3K455,X,
SYNPCC7942_RS11580,SYNPCC7942_RS11580,2345093,2347240,+,WYL domain-containing protein,A0A0H3K3U8,K,
SYNPCC7942_RS11585,amt,2347614,2349026,+,ammonium transporter,Q31KW0,P,K03320
SYNPCC7942_RS11590,SYNPCC7942_RS11590,2349235,2350167,-,tetratricopeptide repeat protein,A0A0H3K4I4,S,
SYNPCC7942_RS11595,SYNPCC7942_RS11595,2350198,2351154,+,hypothetical protein,A0A0H3K7C6,S,
SYNPCC7942_RS11600,SYNPCC7942_RS11600,2351102,2353015,-,GAF domain-containing protein,Q31KV7,T,
SYNPCC7942_RS11605,SYNPCC7942_RS11605,2353048,2353854,+,DUF554 family protein,UPI0012DF309D,S,K07150
SYNPCC7942_RS11610,SYNPCC7942_RS11610,2353861,2354772,-,alpha/beta hydrolase,Q31KV5,I,K16050
SYNPCC7942_RS11615,SYNPCC7942_RS11615,2354769,2355848,-,iron-containing alcohol dehydrogenase family protein,A0A0H3K4I0,C,"K00001,ko:K00005"
SYNPCC7942_RS11620,SYNPCC7942_RS11620,2355974,2357059,-,hypothetical protein,Q31KV3,M,
SYNPCC7942_RS11625,SYNPCC7942_RS11625,2357146,2358120,-,hypothetical protein,A0A0H3K443,M,
SYNPCC7942_RS11630,SYNPCC7942_RS11630,2358162,2358698,-,HAD-IIIA family hydrolase,A0A0H3K3T5,S,K03270
SYNPCC7942_RS11635,kdsA,2358695,2359549,-,3-deoxy-8-phosphooctulonate synthase,Q31KV0,M,K01627
SYNPCC7942_RS11640,kdsB,2359531,2360265,-,3-deoxy-manno-octulosonate cytidylyltransferase,Q31KU9,M,K00979
SYNPCC7942_RS11645,SYNPCC7942_RS11645,2360280,2361251,-,KpsF/GutQ family sugar-phosphate isomerase,A0A0H3KAW5,M,K06041
SYNPCC7942_RS11650,SYNPCC7942_RS11650,2361401,2363665,+,hypothetical protein,Q31KU7,X,
SYNPCC7942_RS11655,SYNPCC7942_RS11655,2363670,2364119,+,hypothetical protein,A0A0H3K7B4,X,
SYNPCC7942_RS11660,SYNPCC7942_RS11660,2364152,2364988,+,hypothetical protein,Q31KU5,M,
SYNPCC7942_RS11665,SYNPCC7942_RS11665,2364988,2366091,+,hypothetical protein,Q31KU4,X,
SYNPCC7942_RS11670,glnT,2366072,2367376,-,type III glutamate--ammonia ligase,Q31KU3,E,K01915
SYNPCC7942_RS11675,SYNPCC7942_RS11675,2367528,2368721,-,transaldolase,Q31KU2,F,K00616
SYNPCC7942_RS11680,ruvA,2368966,2369589,+,Holliday junction branch migration protein RuvA,Q31KU1,L,K03550
SYNPCC7942_RS11685,rpsO,2369635,2369904,+,30S ribosomal protein S15,Q31KU0,J,K02956
SYNPCC7942_RS11690,SYNPCC7942_RS11690,2369910,2370404,+,PAM68 family protein,A0A0H3K4H4,S,
SYNPCC7942_RS11695,SYNPCC7942_RS11695,2370542,2370814,+,hypothetical protein,Q31KT8,X,
SYNPCC7942_RS11700,SYNPCC7942_RS11700,2370891,2371247,-,hypothetical protein,A0A0H3K7A8,S,
SYNPCC7942_RS11705,folP,2371417,2372253,+,dihydropteroate synthase,Q31KT6,H,K00796
SYNPCC7942_RS11710,SYNPCC7942_RS11710,2372353,2373270,+,NAD(+) kinase,Q31KT5,F,K00858
SYNPCC7942_RS11715,SYNPCC7942_RS11715,2373315,2374001,+,response regulator transcription factor,A0A0H3K3S5,K,K11332
SYNPCC7942_RS11720,SYNPCC7942_RS11720,2374143,2374721,+,J domain-containing protein,UPI00031757FE,O,
SYNPCC7942_RS11725,SYNPCC7942_RS11725,2374725,2375735,+,hypothetical protein,A0A0H3KAU9,V,
SYNPCC7942_RS11730,gcvT,2375865,2376983,+,glycine cleavage system aminomethyltransferase GcvT,Q31KT1,E,K00605
SYNPCC7942_RS11735,SYNPCC7942_RS11735,2377107,2377703,-,peroxiredoxin,Q7X4K8,O,K03386
SYNPCC7942_RS11740,SYNPCC7942_RS11740,2377778,2379247,-,2-diaminobutyrate decarboxylase,Q31KS9,E,K01594
SYNPCC7942_RS11750,SYNPCC7942_RS11750,2379602,2380381,-,hypothetical protein,UPI00003A0456,X,
SYNPCC7942_RS11755,murG,2380457,2381530,+,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Q31KS7,M,K02563
SYNPCC7942_RS11760,groL,2381614,2383248,-,chaperonin GroEL,P12834,O,K04077
SYNPCC7942_RS11765,SYNPCC7942_RS11765,2383296,2383607,-,co-chaperone GroES,P07889,O,K04078
SYNPCC7942_RS11770,atpD,2383870,2385324,+,F0F1 ATP synthase subunit beta,P07890,F,K02112
SYNPCC7942_RS11775,SYNPCC7942_RS11775,2385395,2385808,+,F0F1 ATP synthase subunit epsilon,P0A2Z8,C,K02114
SYNPCC7942_RS11780,SYNPCC7942_RS11780,2386204,2388576,-,cation-translocating P-type ATPase,P37385,P,K01533
SYNPCC7942_RS11785,SYNPCC7942_RS11785,2388749,2389375,+,hypothetical protein,A0A0H3K3R8,S,K09932
SYNPCC7942_RS11790,SYNPCC7942_RS11790,2389415,2389707,+,HigA family addiction module antidote protein,,K,
SYNPCC7942_RS11795,SYNPCC7942_RS11795,2389796,2390083,+,DUF3288 family protein,A0A0H3K4G6,S,
SYNPCC7942_RS11800,SYNPCC7942_RS11800,2390121,2390642,+,photosystem I assembly protein Ycf3,Q31KR8,O,
SYNPCC7942_RS11805,gatC,2390654,2390944,+,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,Q31KR7,J,K02435
SYNPCC7942_RS11810,grxC,2391109,2391372,+,glutaredoxin 3,A0A0H3K425,O,K03676
SYNPCC7942_RS11815,gshB,2391369,2392340,+,glutathione synthase,A0A0H3K3R2,H,K01920
SYNPCC7942_RS11820,SYNPCC7942_RS11820,2392327,2393004,-,HEAT repeat domain-containing protein,A0A0H3KAT6,C,
SYNPCC7942_RS11825,SYNPCC7942_RS11825,2393509,2394261,+,SIMPL domain-containing protein,A0A0H3K4G1,S,K09797
SYNPCC7942_RS11830,SYNPCC7942_RS11830,2394295,2394768,-,phosphate-starvation-inducible PsiE family protein,A0A0H3K789,S,
